candidate_pool_size,booking_type,p50_ms,p90_ms,p99_ms,mean_ms,std_dev_ms
10,NORMAL,0.1711,0.2795,0.4729,0.2106,0.0718
50,NORMAL,1.2643,1.9484,2.7699,1.2773,0.4852
100,NORMAL,2.5522,3.5565,4.7392,2.467,0.795
250,NORMAL,5.3224,8.4279,13.7809,6.0845,2.4237
500,NORMAL,9.9201,15.8261,26.1059,11.6966,4.4593
1000,NORMAL,19.2856,30.3496,50.375,22.7084,7.2204
2500,NORMAL,54.9163,85.8753,118.0583,60.8471,17.938
5000,NORMAL,317.5428,467.8227,871.7959,308.9824,166.7318
10,PRIORITY,0.35,0.598,1.147,0.377,0.2001
50,PRIORITY,1.4379,2.6051,4.8468,1.6126,0.8772
100,PRIORITY,2.6933,5.0708,9.736,3.1465,1.8836
250,PRIORITY,7.3629,12.1095,15.7164,7.8159,2.9994
500,PRIORITY,15.112,21.4742,29.9869,15.4047,5.8208
1000,PRIORITY,29.1044,43.0516,65.9845,30.0948,10.3589
2500,PRIORITY,72.9826,144.8907,215.5545,85.2716,39.9254
5000,PRIORITY,157.8722,365.1429,478.9461,208.9703,106.2194
