worker_id,distance_km,rating_avg,experience_years,is_verified,is_available,normal_score,normal_rank,priority_score,priority_rank,rank_shift,abs_rank_shift,distance_score,trust_score,availability_score,service_score,experience_score,reliability_score
w_001,3.36,4.57,12,True,True,0.997,2,0.9852,3,-1,1,0.941,1.0,1.0,1.0,1.0,1.0
w_002,1.42,4.59,14,True,True,1.0,1,1.0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
w_003,2.32,3.3,13,True,True,0.9643,12,0.9755,9,3,3,0.986,0.86,1.0,1.0,1.0,1.0
w_004,1.06,3.28,3,True,True,0.859,56,0.9434,18,38,38,1.0,0.856,1.0,1.0,0.3,1.0
w_005,3.19,4.1,9,True,True,0.9824,5,0.9821,6,-1,1,0.948,1.0,1.0,1.0,0.9,1.0
w_006,4.17,3.63,2,True,True,0.7068,96,0.6253,81,15,15,0.906,0.926,0.0,1.0,0.2,1.0
w_007,4.06,3.65,6,True,True,0.813,75,0.7371,61,14,14,0.91,0.93,0.3,1.0,0.6,1.0
w_008,1.72,3.98,7,True,True,0.954,18,0.9844,4,14,14,1.0,0.996,1.0,1.0,0.7,1.0
w_009,3.49,5.0,2,True,True,0.8618,53,0.9363,21,32,32,0.935,1.0,1.0,1.0,0.2,0.85
w_010,1.47,4.52,12,True,True,0.895,37,0.79,46,-9,9,1.0,1.0,0.3,1.0,1.0,1.0
w_011,3.14,4.41,4,True,True,0.7575,84,0.6576,75,9,9,0.95,1.0,0.0,1.0,0.4,1.0
w_012,3.49,4.3,1,True,True,0.8618,54,0.9388,19,35,35,0.935,1.0,1.0,1.0,0.1,1.0
w_013,2.0,3.21,11,True,True,0.9605,15,0.9763,8,7,7,1.0,0.842,1.0,1.0,1.0,1.0
w_014,3.01,3.65,6,True,True,0.8153,73,0.7485,58,15,15,0.956,0.93,0.3,1.0,0.6,1.0
w_015,4.7,3.6,6,True,True,0.9141,30,0.9387,20,10,10,0.883,0.92,1.0,1.0,0.6,1.0
w_016,1.69,3.98,7,True,True,0.954,19,0.9844,5,14,14,1.0,0.996,1.0,1.0,0.7,1.0
w_017,2.34,4.11,6,True,False,0.7893,82,0.6763,71,11,11,0.985,1.0,0.0,1.0,0.6,1.0
w_018,3.02,3.35,11,True,True,0.9653,11,0.9694,11,0,0,0.956,0.87,1.0,1.0,1.0,1.0
w_019,1.17,4.59,13,True,True,0.895,38,0.79,47,-9,9,1.0,1.0,0.3,1.0,1.0,1.0
w_020,4.02,4.54,8,True,True,0.8606,55,0.758,52,3,3,0.912,1.0,0.3,1.0,0.8,1.0
w_021,4.16,4.83,14,True,True,0.9953,3,0.9765,7,-4,4,0.906,1.0,1.0,1.0,1.0,1.0
w_022,2.71,4.83,11,False,True,0.99,4,0.9872,2,2,2,0.969,0.966,1.0,1.0,1.0,1.0
w_023,1.34,4.56,4,True,True,0.91,32,0.97,10,22,22,1.0,1.0,1.0,1.0,0.4,1.0
