route_id,origin_name,origin_lat,origin_lon,dest_lat,dest_lon,haversine_km,osrm_km,tortuosity,abs_diff_km,duration_min,haversine_latency_ms,osrm_latency_ms,score_haversine,score_osrm,score_distortion
R_01,Egmore,13.0784,80.2608,13.0827,80.2707,1.17,1.57,1.3373,0.4,2.0,0.0256,1127.4,1.0,1.0,0.0
R_02,Royapettah,13.0538,80.2625,13.0827,80.2707,3.33,5.41,1.623,2.08,7.3,0.0627,1156.44,0.942,0.8517,0.0903
R_03,Nungambakkam,13.0604,80.2376,13.0827,80.2707,4.36,6.31,1.4477,1.95,7.3,0.0276,768.96,0.8974,0.8126,0.0848
R_04,Kilpauk,13.0825,80.2415,13.0827,80.2707,3.16,3.89,1.2298,0.73,4.8,0.0239,888.64,0.9494,0.9179,0.0315
R_05,T. Nagar,13.0418,80.2341,13.0827,80.2707,6.03,7.06,1.1696,1.02,8.3,0.0329,799.04,0.8246,0.7802,0.0444
R_06,Mylapore,13.0368,80.2676,13.0827,80.2707,5.11,7.02,1.373,1.91,8.3,0.0398,864.35,0.8646,0.7816,0.083
R_07,Alwarpet,13.0336,80.2505,13.0827,80.2707,5.88,8.02,1.363,2.14,10.2,0.0494,799.99,0.8312,0.7384,0.0928
R_08,Kodambakkam,13.0524,80.2223,13.0827,80.2707,6.23,7.95,1.2758,1.72,10.3,0.0527,753.16,0.816,0.7413,0.0747
R_09,Anna Nagar East,13.0878,80.2184,13.0827,80.2707,5.69,7.46,1.3109,1.77,7.8,0.0276,796.97,0.8394,0.7625,0.0769
R_10,Chetpet,13.0694,80.2425,13.0827,80.2707,3.39,3.94,1.1595,0.54,4.5,0.0228,912.51,0.9394,0.9159,0.0235
R_11,Teynampet,13.0405,80.2502,13.0827,80.2707,5.19,7.82,1.5062,2.63,10.0,0.022,925.7,0.8612,0.747,0.1142
R_12,Gopalapuram,13.0505,80.2541,13.0827,80.2707,4.01,5.54,1.3831,1.54,7.6,0.0155,1431.28,0.9128,0.846,0.0668
R_13,Anna Nagar West,13.085,80.198,13.0827,80.2707,7.88,9.36,1.1875,1.48,10.0,0.026,1190.23,0.7444,0.6802,0.0642
R_14,Vadapalani,13.05,80.212,13.0827,80.2707,7.32,8.83,1.2052,1.5,10.4,0.058,1884.16,0.7685,0.7032,0.0653
R_15,Ashok Nagar,13.035,80.211,13.0827,80.2707,8.36,10.42,1.2464,2.06,12.1,0.0213,1625.45,0.7233,0.6337,0.0896
R_16,Saidapet,13.02,80.223,13.0827,80.2707,8.68,11.04,1.2719,2.36,12.5,0.0243,903.73,0.7097,0.6071,0.1026
R_17,Guindy Industrial,13.0067,80.203,13.0827,80.2707,11.19,14.17,1.266,2.98,16.0,0.0254,1003.46,0.6005,0.4711,0.1294
R_18,Adyar,13.0012,80.2565,13.0827,80.2707,9.19,12.55,1.3656,3.36,13.4,0.0229,2872.56,0.6873,0.5412,0.1461
R_19,Besant Nagar,12.9982,80.2668,13.0827,80.2707,9.41,14.0,1.4887,4.6,15.3,0.0246,3240.37,0.678,0.4782,0.1998
R_20,Koyambedu,13.0694,80.1948,13.0827,80.2707,8.35,9.88,1.1829,1.53,10.2,0.0186,1319.39,0.7238,0.6574,0.0664
R_21,Villivakkam,13.109,80.207,13.0827,80.2707,7.49,10.45,1.3946,2.96,11.1,0.0203,1759.53,0.7612,0.6326,0.1286
R_22,Perambur,13.1095,80.242,13.0827,80.2707,4.31,5.52,1.2822,1.22,6.9,0.0179,856.56,0.8997,0.8469,0.0528
R_23,Madhavaram,13.1488,80.2314,13.0827,80.2707,8.49,10.95,1.2889,2.45,11.3,0.0266,706.03,0.7177,0.611,0.1067
